,,,2020,,2016,,2012,,2008,
District,Incumbent,Party,Biden,Trump,Clinton,Trump,Obama,Romney,Obama,McCain
IL-05,Mike Quigley,(D),72.1,26.0,70.5,23.9,66.0,31.8,69.9,28.8
IL-06,Sean Casten,(D),55.3,42.6,50.2,43.2,45.1,53.3,51.3,47.3
IL-07,Danny Davis,(D),86.3,12.1,87.4,9.2,87.2,11.8,89.4,9.9
IL-08,Raja Krishnamoorthi,(D),59.2,39.0,58.1,36.4,57.4,40.9,61.5,37.1
IL-09,Jan Schakowsky,(D),71.0,27.4,70.1,24.9,65.0,33.3,68.6,30.3
IL-10,Brad Schneider,(D),64.2,34.0,62.0,32.6,57.5,41.1,63.0,35.9
IL-11,Bill Foster,(D),61.9,36.2,58.9,35.4,57.8,40.6,61.3,37.5
IL-12,Mike Bost,(R),41.9,56.1,40.2,55.0,49.7,48.1,54.7,43.6
IL-13,Rodney Davis,(R),47.0,50.5,44.2,49.7,48.6,48.9,54.6,43.6
IL-14,Lauren Underwood,(D),50.2,47.8,44.8,48.7,44.2,54.2,50.7,48.0
IL-15,Mary Miller,(R),25.9,72.2,24.5,70.7,34.1,63.9,42.8,55.4
IL-16,Adam Kinzinger,(R),40.9,56.9,38.3,55.5,45.2,52.9,50.0,48.2
IL-17,Cheri Bustos,(D),48.1,49.7,46.7,47.4,57.6,40.6,60.0,38.5
IL-18,Darin LaHood,(R),36.8,60.9,33.3,60.6,37.4,60.7,44.1,54.4
IN-01,Frank Mrvan,(D),53.6,44.8,54.1,41.5,61.2,37.4,63.3,35.8
IN-02,[VACANT],(R),38.9,59.3,36.1,59.3,42.1,56.1,49.6,49.3
IN-03,Jim Banks,(R),34.0,63.9,30.1,65.1,35.7,62.5,43.0,56.0
IN-04,Jim Baird,(R),34.0,63.8,30.2,64.3,36.9,60.9,44.6,54.2
IN-05,Victoria Spartz,(R),47.9,50.1,41.3,53.1,40.7,57.5,46.6,52.6
IN-06,Greg Pence,(R),29.1,68.8,27.4,67.7,37.3,60.4,43.6,55.0
IN-07,André Carson,(D),62.9,35.3,59.0,36.2,62.9,35.3,66.3,32.8
IN-08,Larry Bucshon,(R),33.1,65.1,30.9,64.6,39.6,58.4,48.1,50.6
IN-09,Trey Hollingsworth,(R),37.2,60.8,34.2,61.1,40.7,57.2,46.2,52.7
